five_p_cleav_1,five_p_cleav_compl_1,five_p_cleav_2,five_p_cleav_compl_2,five_p_non_cleav_1,five_p_non_cleav_compl_1,five_p_non_cleav_2,five_p_non_cleav_compl_2,three_p_cleav_1,three_p_cleav_compl_1,three_p_cleav_2,three_p_cleav_compl_2,three_p_non_cleav_1,three_p_non_cleav_compl_1,three_p_non_cleav_2,three_p_non_cleav_compl_2
"[0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 0, -1, -1]","[0, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 5]","[0, -1, -1, -2, -2, -2, -3, -4, -5, -6, -6, -6, -6, -6, -7]","[0, 0, -1, -1, -2, -1, -1, -1, -1, -1, -1, -1, -1, -2, -2]","[0, 1, 0, -1, -1, -1, -2, -2, -1, -1, 0, -1, -1, -1, -1]","[0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -7]","[0, -1, 0, -1, -1, -1, 0, 0, -1, -1, -2, -1, -1, -1, -1]","[0, -1, 0, -1, 0, 0, 1, 2, 2, 2, 3, 3, 4, 4, 5]","[0, 0, 0, 0, 0, -1, -1, -1, -2, -1, -1, 0, 0, -1, -1]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -2, -2, -1, -1]","[0, 1, 1, 2, 1, 1, 0, -1, -1, -1, -2, -2, -3, -3, -4]","[0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 5, 5, 6, 6]","[0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, -2, -1, -1, -2]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, -1, 0]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -6, -6]"
"[0, 0, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 3, 3, 3]","[0, 1, 1, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[0, -1, -1, -2, -2, -2, -3, -4, -5, -5, -5, -5, -5, -6, -7]","[0, 0, -1, -1, -2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 1, 0, -1, -1, -1, -2, -2, -1, -1, 0, -1, -1, -1, -1]","[0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 2]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -7]","[0, -1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1]","[0, -1, 0, -1, 0, 0, 1, 2, 2, 2, 1, 1, 2, 2, 3]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 1, 1]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -2, -2, -1, -1]","[0, 0, 0, 1, 0, 0, -1, -2, -2, -2, -3, -3, -4, -4, -5]","[0, 1, 1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1]","[0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, -2, -1, -1, -2]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 1, 2, 1, 2, 3]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -5, -5]"
"[0, 0, 1, 1, 2, 1, 1, 1, 1, 0, -1, -2, -3, -3, -3]","[0, 1, 1, 2, 2, 2, 3, 4, 3, 3, 3, 3, 3, 2, 2]","[0, -1, -1, -2, -2, -2, -3, -4, -5, -5, -5, -5, -5, -4, -5]","[0, 0, -1, -1, -2, -1, -1, -1, -1, -2, -1, 0, 1, 1, 1]","[0, 1, 0, -1, -1, -1, -2, -2, -1, -1, 0, -1, -1, -1, -1]","[0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 5]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -7]","[0, -1, 0, -1, -1, -1, 0, 0, -1, -1, -2, -1, -1, -1, -1]","[0, -1, -2, -3, -2, -2, -1, 0, 0, 0, 1, 1, 2, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -2, -2, -1, -1]","[0, 0, 0, 0, 0, 0, -1, -2, -2, -2, -3, -3, -4, -4, -5]","[0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 5, 5, 6, 6]","[0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, -2, -1, -1, -2]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, -1, 0]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -6, -6]"
"[0, 0, -1, -1, -2, -3, -3, -3, -3, -3, -2, -3, -4, -5, -5]","[0, 1, 1, 2, 2, 2, 3, 4, 3, 2, 2, 2, 2, 2, 1]","[0, -1, -1, -2, -2, -2, -3, -4, -5, -4, -4, -4, -4, -4, -3]","[0, 0, -1, -1, -2, -1, -1, -1, -1, -1, -1, 0, 1, 2, 2]","[0, 1, 0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5]","[0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 5]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -7]","[0, -1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 2, 1, 2, 2, 3, 4, 4, 4, 5, 5, 6, 6, 7]","[0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -2, -2, -1, -1]","[0, -1, -1, -1, -1, -1, -1, -2, -2, -2, -3, -3, -4, -4, -5]","[0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 5, 5, 6, 6]","[0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -5, -5, -6]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 1, 2, 1, 1, 2]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -6, -6]"
"[0, 0, 1, 1, 0, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1]","[0, 1, 1, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 3, 3]","[0, -1, -1, -2, -2, -2, -3, -4, -5, -5, -5, -5, -5, -6, -7]","[0, 0, -1, -1, -2, -1, -1, -1, -1, -1, -2, -3, -3, -3, -3]","[0, 1, 0, -1, -1, -1, -2, -2, -1, -1, -2, -3, -3, -3, -3]","[0, 0, 0, 0, 1, 2, 2, 3, 3, 2, 2, 2, 3, 4, 4]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -7]","[0, -1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1]","[0, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, 1, 1, 2]","[0, 0, 0, 0, 1, 0, 0, 0, -1, -2, -2, -1, -1, -2, -2]","[0, 0, 0, 0, -1, -2, -2, -2, -1, -2, -2, -3, -3, -2, -2]","[0, 0, -1, -1, -1, -1, -2, -3, -3, -3, -4, -4, -5, -5, -6]","[0, 1, 1, 1, 0, 0, 1, 1, 2, 3, 3, 3, 3, 3, 3]","[0, 0, -1, -2, -2, -1, -1, -2, -2, -2, -3, -4, -3, -3, -4]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 1, 2, 1, 0, 1]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -5, -5]"
"[0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 0, -1, -1]","[0, 0, 0, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 2]","[0, 1, 1, 0, 0, 0, -1, -2, -3, -4, -4, -4, -4, -4, -3]","[0, 0, -1, -1, -2, -1, -1, -1, -1, -1, -1, 0, 1, 2, 2]","[0, 1, 0, -1, -1, -1, -2, -2, -1, -1, 0, -1, -1, -1, -1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3]","[0, 0, 0, 0, -1, -2, -2, -1, -1, -2, -2, -2, -3, -4, -5]","[0, -1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1]","[0, -1, 0, -1, -2, -2, -1, 0, 0, 0, 1, 1, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -2, -2, -1, -1]","[0, 0, 0, 0, 0, 0, -1, -2, -2, -2, -3, -3, -3, -3, -4]","[0, 1, 1, 1, 2, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2]","[0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, -2, -1, -1, -2]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 1, 2, 1, 1, 2]","[0, -1, -1, -1, -2, -2, -2, -2, -3, -4, -4, -4, -4, -5, -5]"
"[0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 0, -1, 0, -1, -2]","[0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[0, -1, -1, -2, -2, -2, -3, -4, -4, -4, -4, -4, -4, -4, -4]","[0, 0, -1, -1, -2, -1, -1, -1, 0, -1, 0, 1, 1, 2, 2]","[0, 1, 0, -1, -1, -1, -2, -2, -1, -1, 0, -1, -1, -1, -2]","[0, 0, 0, 0, -1, -2, -2, -1, -1, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -6]","[0, -1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 1, 1, 1, 2]","[0, -1, 0, -1, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 2]","[0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, -1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -2, -2, -3, -3, -4]","[0, 1, 1, 1, 2, 2, 3, 3, 2, 1, 1, 1, 1, 1, 1]","[0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, -2, -1, -2, -3]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 1, 2, 1, 2, 3]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -5, -5]"
"[0, 0, 1, 1, 2, 1, 1, 1, 0, 0, -1, -2, -3, -4, -4]","[0, 1, 1, 2, 2, 2, 3, 4, 4, 5, 5, 5, 5, 5, 6]","[0, -1, -1, -2, -2, -2, -3, -4, -4, -5, -5, -5, -5, -5, -6]","[0, 0, -1, -1, -2, -1, -1, -1, -2, -2, -3, -2, -1, 0, 0]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 0]","[0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -6]","[0, -1, 0, -1, -1, -1, 0, 0, -1, -1, -2, -1, -1, -1, -2]","[0, -1, 0, -1, 0, 0, 1, 2, 2, 2, 3, 3, 4, 4, 5]","[0, 0, 0, 0, 0, -1, -1, -1, -2, -1, -1, 0, 0, -1, -1]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -2, -2, -1, -1]","[0, 0, 0, 0, -1, -1, -2, -3, -3, -3, -4, -4, -5, -5, -6]","[0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 5, 5, 6, 6]","[0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, -1, -2]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -6, -6]"
"[0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 0, -1, -1]","[0, 1, 1, 2, 2, 2, 3, 4, 3, 2, 2, 2, 2, 2, 3]","[0, -1, -1, -2, -2, -2, -3, -4, -5, -6, -6, -6, -6, -6, -7]","[0, 0, -1, -1, -2, -1, -1, -1, -1, -1, -2, -3, -2, -3, -3]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 0, -1, 0, 0, 1, 1, 2, 2, 2, 3, 4, 3]","[0, 0, 0, 0, -1, -2, -2, -3, -3, -4, -4, -4, -5, -6, -7]","[0, -1, 0, -1, -1, -1, 0, 0, -1, -1, -2, -1, -1, -1, -1]","[0, -1, 0, -1, 0, 0, 1, 2, 2, 2, 3, 3, 4, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -2, -2, -1, -1]","[0, -1, -2, -2, -2, -2, -2, -3, -3, -3, -4, -4, -5, -5, -6]","[0, 1, 1, 1, 2, 2, 3, 3, 4, 3, 3, 3, 3, 4, 4]","[0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, -1, 0]","[0, -1, -1, -1, -2, -2, -3, -3, -4, -5, -5, -5, -5, -6, -6]"
"[0, -1, -1, -1, -1, -2, -2, -3, -4, -3, -3, -3, -3, -3, -4]","[0, 0, -1, -2, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2]","[0, 0, -1, -2, -3, -3, -4, -4, -4, -4, -5, -6, -7, -8, -8]","[0, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 2, 3, 3, 2, 1, 1, 1, 1, 0, 0, -1, -2]","[0, 0, 0, 0, 0, 1, 1, 1, 0, -1, 0, 0, -1, -1, -1]","[0, 0, -1, -1, -1, -2, -2, -2, -3, -4, -5, -5, -6, -6, -6]","[0, -1, -1, -1, -2, -2, -1, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 2, 3, 2, 1, 1, 0, 0, 1, 0, -1, -1, -1, 0]","[0, 0, 0, 0, 0, 0, -1, -1, -2, -2, -2, -2, -3, -4, -4]","[0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 2, 2]","[0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -3, -4, -4, -4, -5]","[0, -1, -1, 0, -1, -2, -2, -2, -1, -1, 0, 0, 0, -1, -1]","[0, 0, -1, -1, -1, -1, -2, -3, -3, -2, -2, -2, -1, -1, 0]","[0, 0, 1, 1, 1, 1, 2, 3, 3, 2, 2, 1, 0, 0, -1]","[0, -1, -1, -2, -3, -4, -4, -4, -5, -5, -5, -5, -5, -4, -4]"
