five_p_cleav_1,five_p_cleav_compl_1,five_p_cleav_2,five_p_cleav_compl_2,five_p_cleav_prob,five_p_cleav_ss,five_p_non_cleav_1,five_p_non_cleav_compl_1,five_p_non_cleav_2,five_p_non_cleav_compl_2,five_p_non_cleav_prob,five_p_non_cleav_ss,three_p_cleav_1,three_p_cleav_compl_1,three_p_cleav_2,three_p_cleav_compl_2,three_p_cleav_prob,three_p_cleav_ss,three_p_non_cleav_1,three_p_non_cleav_compl_1,three_p_non_cleav_2,three_p_non_cleav_compl_2,three_p_non_cleav_prob,three_p_non_cleav_ss
"[-6, -5, -4, -5, -4, -5, -6, -7]","[3, 4, 5, 6, 7, 8]","[-6, -7, -8, -9, -10, -11, -12, -13]","[-2, -3, -4, -3, -4]","[0.9994679517739496, 0.9989972739174591, 0.9989705602761316, 0.9993176437187281, 0.9997423393655187, 0.981519566130822, 0.9144092768903046, -1, -1, -1, -1, -1, 0.7931920086071264, 0.8071775998760317]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[-4, -3, -4, -5, -6, -5, -4, -5]","[1, 2, 3, 4, 5, 6, 7]","[-4, -5, -6, -7, -8, -9, -10, -11]","[-2, -3, -2, -3, -2, -3, -4, -3]","[0.9993990065365326, 0.9998536169074631, 0.9985678063762455, 0.9987582701160881, 0.998882802020682, 0.999948614713236, 0.9994679517739496, 0.9989972739174591, 0.9989705602761316, 0.9993176437187281, 0.9997423393655187, 0.981519566130822, 0.9144092768903046, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[-5, -6, -5, -6, -5, -4, -3, -2, -1, 0]","[5, 4, 3, 4, 5, 4]","[-6, -7, -6, -7, -8, -7]","[-3, -2, -1, -2, -3, -4, -5, -6, -7]","[0.8433408244527671, -1, 0.8068907396417209, 0.8071775998760317, 0.7931920086071264, 0.9144092768903046, 0.981519566130822, 0.9997423393655187, 0.9993176437187281, 0.9989705602761316, 0.9989972739174591, 0.9994679517739496, 0.999948614713236, 0.998882802020682]","[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-4, -3, -2, -1, 0, 1, 2]","[4, 3, 4, 5, 4, 3, 2, 3, 2]","[-7, -6, -7, -8, -7, -8, -7, -8, -7]","[-3, -4, -5, -6, -7, -8, -9]","[0.981519566130822, 0.9997423393655187, 0.9993176437187281, 0.9989705602761316, 0.9989972739174591, 0.9994679517739496, 0.999948614713236, 0.998882802020682, 0.9987582701160881, 0.9985678063762455, 0.9998536169074631, 0.9993990065365326, 0.9994870750249327, 0.9999419082190152]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-5, -4, -3, -4, -3, -4, -3, -2]","[1, 2, 1, 2, 3]","[-6, -7, -8, -9, -10, -11, -12, -13]","[2, 1, 0, 1]","[0.9995005502606233, 0.9993890338609012, 0.9989928549632543, 0.9989878900835651, 0.9997762623671526, 0.9454479246953289, 0.8415389296724259, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[-3, -2, -3, -4, -5, -4, -3, -4]","[1, 0, 1, 2, 1, 2, 3]","[-4, -5, -6, -7, -8, -9, -10, -11]","[0, -1, 0, 1, 2, 1, 0, 1]","[0.9563076823809918, 0.9999349916401168, 0.9999852522224628, 0.9990466231780082, 0.9981922091405107, 0.9999496980027072, 0.9995005502606233, 0.9993890338609012, 0.9989928549632543, 0.9989878900835651, 0.9997762623671526, 0.9454479246953289, 0.8415389296724259, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, -1, 0, -1, 0, 1, 2, 1, 2, 3]","[3, 4, 3, 4, 5, 4]","[-12, -13, -12, -13, -14, -13]","[0, 1, 0, -1, -2, -3, -4, -5]","[-1, -1, 0.2523819854832751, 0.25193883090231134, 0.24220110833624503, 0.8415389296724259, 0.9454479246953289, 0.9997762623671526, 0.9989878900835651, 0.9989928549632543, 0.9993890338609012, 0.9995005502606233, 0.9999496980027072, 0.9981922091405107]","[0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 2, 1, 2, 3, 2]","[4, 3, 4, 5, 4, 3, 2, 3, 2]","[-13, -12, -13, -14, -13, -12, -11, -12, -11, -10]","[-1, -2, -3, -4, -5, -6]","[0.9454479246953289, 0.9997762623671526, 0.9989878900835651, 0.9989928549632543, 0.9993890338609012, 0.9995005502606233, 0.9999496980027072, 0.9981922091405107, 0.9990466231780082, 0.9999852522224628, 0.9999349916401168, 0.9563076823809918, -1, 0.9923035283127263]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]"
"[-7, -6, -5, -6, -7, -8, -9, -10]","[2, 3, 4, 5, 6, 5, 4]","[-5, -6, -7, -8, -9, -10, -9, -10]","[-1, -2, -3, -2, -3, -2, -1, 0]","[0.9994163442595149, 0.9987668173886278, 0.9985118236471949, 0.9987292533370807, 0.9989747351094631, 0.9871094927800187, 0.9054769632677717, 0.6886028140269224, 0.9233579010932847, 0.9690657447422202, 0.9697785266188862, 0.9698288294757772, 0.9558635266182334, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[-5, -4, -5, -6, -7, -6, -5, -6]","[0, 1, 2, 3, 4, 5, 6, 5]","[-3, -4, -5, -6, -7, -8, -9, -10]","[-1, -2, -1, -2, -1, -2, -3, -2]","[0.9993996263929142, 0.9998540590286884, 0.9985672484703394, 0.9987574021015481, 0.9988814755818177, 0.9999469980833028, 0.9994163442595149, 0.9987668173886278, 0.9985118236471949, 0.9987292533370807, 0.9989747351094631, 0.9871094927800187, 0.9054769632677717, 0.6886028140269224]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-11, -12, -13, -14, -13, -12, -11, -10, -9, -8]","[0, -1, 0, 1, 0]","[-9, -10, -9, -10, -11, -10]","[0, -1, -2, -3, -4, -5]","[-1, -1, -1, -1, -1, 0.9054769632677717, 0.9871094927800187, 0.9989747351094631, 0.9987292533370807, 0.9985118236471949, 0.9987668173886278, 0.9994163442595149, 0.9999469980833028, 0.9988814755818177]","[0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-12, -11, -10, -9, -8, -7, -6]","[0, -1, 0, 1, 0, -1, -2, -1, -2]","[-10, -9, -10, -11, -10, -11, -10, -11, -10]","[-1, -2, -3, -4, -5, -6, -7]","[0.9871094927800187, 0.9989747351094631, 0.9987292533370807, 0.9985118236471949, 0.9987668173886278, 0.9994163442595149, 0.9999469980833028, 0.9988814755818177, 0.9987574021015481, 0.9985672484703394, 0.9998540590286884, 0.9993996263929142, 0.9994880268105646, 0.9999445646678046]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-8, -9, -10, -11, -10, -11, -12, -13]","[1, 2, 3, 4, 5, 4, 3, 2]","[-4, -5, -6, -7, -8, -9, -8, -7]","[4, 3, 2, 3, 4, 5, 6]","[0.999160662855199, 0.9989557122412128, 0.9989626875479792, 0.9988577581628171, 0.9994497077369764, 0.9059504054826517, 0.3108991138481588, 0.4410092274327056, 0.4493093511675642, -1, 0.7136873248807942, 0.8097225503794934, 0.901180076932351, 0.9924962006866783]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[-6, -5, -6, -7, -8, -9, -10, -11]","[-1, 0, 1, 2, 3, 4, 5, 4]","[-2, -3, -4, -5, -6, -7, -8, -9]","[2, 1, 2, 3, 4, 3, 2, 3]","[0.9994037768486299, 0.9999766046942191, 0.9999788635419685, 0.9990456225092273, 0.9988761873970792, 0.9999477441990704, 0.999160662855199, 0.9989557122412128, 0.9989626875479792, 0.9988577581628171, 0.9994497077369764, 0.9059504054826517, 0.3108991138481588, 0.4410092274327056]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-17, -16, -15, -16, -15, -14, -13, -12, -11, -10]","[-1, -2, -3, -4, -5]","[-7, -8, -7, -8, -9, -8]","[5, 4, 3, 2, 1, 0]","[0.3108991138481588, -1, -1, -1, -1, -1, 0.9059504054826517, 0.9994497077369764, 0.9988577581628171, 0.9989626875479792, 0.9989557122412128, 0.999160662855199, 0.9999477441990704, 0.9988761873970792]","[-1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]","[-14, -13, -12, -11, -10, -9, -8]","[-1, -2, -3, -4, -5, -6, -7, -6, -7]","[-8, -7, -8, -9, -8, -7, -6, -7, -6]","[4, 3, 2, 1, 0, -1, -2]","[0.9059504054826517, 0.9994497077369764, 0.9988577581628171, 0.9989626875479792, 0.9989557122412128, 0.999160662855199, 0.9999477441990704, 0.9988761873970792, 0.9990456225092273, 0.9999788635419685, 0.9999766046942191, 0.9994037768486299, 0.9994887409463186, 0.9999522562085547]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-7, -6, -7, -8, -7, -8, -7, -8]","[1, 2, 1, 2, 3, 4]","[-4, -5, -6, -7, -8, -9, -10, -11]","[1, 0, -1, 0, -1, -2]","[0.9994476709704075, 0.9990468294919146, 0.9916680378827262, 0.9894820848868664, 0.9971646971138058, 0.9588891186737082, 0.7572201218459581, -1, -1, 0.5869463332127762, 0.6638825315376422, -1, 0.7068818486967956, -1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","[-5, -4, -5, -6, -7, -6, -7, -8]","[-1, 0, 1, 2, 1, 2, 3]","[-2, -3, -4, -5, -6, -7, -8, -9]","[-1, -2, -1, 0, 1, 0, -1, 0]","[0.8752097603390069, 0.9998438488673995, 0.9999594763472633, 0.9990450419450349, 0.9988761200710301, 0.999948275405103, 0.9994476709704075, 0.9990468294919146, 0.9916680378827262, 0.9894820848868664, 0.9971646971138058, 0.9588891186737082, 0.7572201218459581, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[-8, -9, -8, -9, -8, -7, -8, -7, -6]","[4, 5, 4, 3, 2, 3, 2]","[-8, -9, -10, -9, -10, -11, -10]","[-2, -3, -4, -5, -6, -7, -8]","[-1, 0.7068818486967956, -1, 0.6638825315376422, 0.5869463332127762, 0.7572201218459581, 0.9588891186737082, 0.9971646971138058, 0.9894820848868664, 0.9916680378827262, 0.9990468294919146, 0.9994476709704075, 0.999948275405103, 0.9988761200710301]","[0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-8, -7, -8, -7, -6, -5]","[4, 3, 2, 3, 2, 1, 0, 1, 0]","[-10, -9, -10, -11, -10, -9, -8, -9, -10, -9]","[-4, -5, -6, -7, -8, -9]","[0.9588891186737082, 0.9971646971138058, 0.9894820848868664, 0.9916680378827262, 0.9990468294919146, 0.9994476709704075, 0.999948275405103, 0.9988761200710301, 0.9990450419450349, 0.9999594763472633, 0.9998438488673995, 0.8752097603390069, -1, 0.9883392551051469]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]"
"[-3, -2, -1, -2, -1, -2, -3, -4]","[-3, -2, -1, 0, -1]","[-3, -2, -3, -4, -5, -6, -7, -6]","[0, -1, -2, -1, 0, 1, 2]","[-1, 0.9175512581897106, 0.9968547915016248, 0.9986880197972821, 0.9991156928825519, 0.9604237225769804, 0.7615895871195986, -1, -1, -1, 0.9942946309258355, 0.9981181168023615, 0.9983033919556683, 0.9983391726653794]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[-1, 0, -1, -2, -3, -2, -1, -2]","[-3, -2, -3, -2, -1, 0]","[-1, -2, -3, -2, -3, -4, -5, -6]","[-2, -3, -2, -1, 0, -1, -2, -1]","[0.9990443416997298, 0.9999759988477567, 0.999979692994473, 0.9994563668857677, 0.9978096634833661, 0.9921146735931329, -1, 0.9175512581897106, 0.9968547915016248, 0.9986880197972821, 0.9991156928825519, 0.9604237225769804, 0.7615895871195986, -1]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-4, -5, -4, -5, -6, -5, -4, -3, -2, -3]","[-4, -5, -4, -3, -4]","[-6, -7, -6, -7, -8, -7]","[1, 0, -1, -2, -3]","[-1, -1, -1, -1, -1, 0.7615895871195986, 0.9604237225769804, 0.9991156928825519, 0.9986880197972821, 0.9968547915016248, 0.9175512581897106, -1, 0.9921146735931329, 0.9978096634833661]","[0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1]","[-5, -4, -3, -2, -3, -2, -3]","[-4, -5, -4, -3, -4, -5, -6, -5, -6]","[-7, -6, -7, -8, -7, -6, -5, -6, -5]","[0, -1, -2, -3, -4, -5]","[0.9604237225769804, 0.9991156928825519, 0.9986880197972821, 0.9968547915016248, 0.9175512581897106, -1, 0.9921146735931329, 0.9978096634833661, 0.9994563668857677, 0.999979692994473, 0.9999759988477567, 0.9990443416997298, 0.999488911905879, 0.9999711805489507]","[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-8, -7, -6, -7, -8, -7, -8, -9, -8, -9, -10]","[-3, -2, -1, 0]","[0, -1, -2, -3, -4]","[5, 4, 3, 4, 5, 4, 5, 6, 7]","[0.9994647278697295, 0.9989964596022071, 0.9989841362592967, 0.9992620523309127, 0.9989763981160792, 0.5511757522285035, -1, 0.8360219529599061, 0.8242571567113587, 0.33295279124829436, 0.33279250920127307, -1, 0.2728025133210004, -1]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]","[-6, -5, -6, -7, -8, -7, -6, -7, -8]","[-1, -2, -3, -2, -1, 0]","[2, 1, 0, -1, -2, -3, -4]","[3, 2, 3, 4, 5, 4, 3, 4, 5]","[0.9996990961920104, 0.9999769389561537, 0.9999869052736162, 0.9988362016658614, 0.9934149787217695, 0.9998405918173997, 0.9994647278697295, 0.9989964596022071, 0.9989841362592967, 0.9992620523309127, 0.9989763981160792, 0.5511757522285035, -1, 0.8360219529599061]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[-7, -8, -7, -8, -7, -6, -5, -4, -5]","[-3, -2, -3, -4, -3, -2, -3]","[0, -1, 0, 1, 0, -1, 0]","[7, 6, 5, 4, 3]","[-1, -1, -1, -1, 0.8242571567113587, 0.8360219529599061, 0.5511757522285035, 0.9989763981160792, 0.9992620523309127, 0.9989841362592967, 0.9989964596022071, 0.9994647278697295, 0.9998405918173997, 0.9934149787217695]","[0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-7, -6, -5, -4, -5, -6]","[-3, -4, -3, -2, -3, -4, -5, -4, -5, -6]","[0, 1, 0, -1, 0, 1, 2, 1, 2, 3]","[7, 6, 5, 4, 3, 2]","[0.5511757522285035, 0.9989763981160792, 0.9992620523309127, 0.9989841362592967, 0.9989964596022071, 0.9994647278697295, 0.9998405918173997, 0.9934149787217695, 0.9988362016658614, 0.9999869052736162, 0.9999769389561537, 0.9996990961920104, 0.9999852891312313, 0.9999757497118278]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-2, -1, 0, -1, -2, -3, -4, -5, -6]","[2, 3, 4, 5, 6, 7, 8]","[-5, -6, -7, -8, -9, -10, -11]","[-1, -2, -3, -2, -3, -4, -3, -2, -1]","[0.999468088726948, 0.9989981537212728, 0.9989980971059653, 0.9993803947896326, 0.9999451879797225, 0.998375751427826, 0.9934608472225297, 0.9851815824634953, 0.9063491050446681, 0.9770191865866512, 0.9977941152967573, 0.9985625614618405, 0.9987303452335923, 0.9978708734752203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-2, -1, -2, -1, -2, -1, 0, -1, -2]","[0, 1, 2, 3, 4, 5, 6]","[-3, -4, -5, -6, -7, -8, -9]","[-1, -2, -1, -2, -1, -2, -3, -2, -3]","[0.9994112301316905, 0.9999646095599608, 0.999459804442129, 0.9981241994238879, 0.9988525288472616, 0.9999485771495359, 0.999468088726948, 0.9989981537212728, 0.9989980971059653, 0.9993803947896326, 0.9999451879797225, 0.998375751427826, 0.9934608472225297, 0.9851815824634953]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-6, -7, -6, -7, -6, -5, -4, -3, -2, -1]","[4, 3, 2, 3, 4, 3]","[-15, -16, -15, -16, -17, -16]","[-4, -5, -6, -7, -8, -9, -10]","[-1, -1, -1, 0.9063491050446681, 0.9851815824634953, 0.9934608472225297, 0.998375751427826, 0.9999451879797225, 0.9993803947896326, 0.9989980971059653, 0.9989981537212728, 0.999468088726948, 0.9999485771495359, 0.9988525288472616]","[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-5, -4, -3, -2, -1, 0, 1]","[3, 2, 3, 4, 3, 4, 3, 4, 3]","[-16, -15, -16, -17, -16, -17, -16, -17, -18]","[-6, -7, -8, -9, -10, -11, -12]","[0.998375751427826, 0.9999451879797225, 0.9993803947896326, 0.9989980971059653, 0.9989981537212728, 0.999468088726948, 0.9999485771495359, 0.9988525288472616, 0.9981241994238879, 0.999459804442129, 0.9999646095599608, 0.9994112301316905, 0.9993411872502568, 0.9980140380836634]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-5, -4, -3, -4, -3, -4, -5, -6]","[1, 2, 3, 4, 5, 4, 3, 4]","[-7, -8, -9, -10, -11, -12, -13, -14]","[1, 0, -1, 0, -1, -2, -1, -2]","[0.9994679164378114, 0.9989971627596489, 0.9989837944320829, 0.9993145103107699, 0.9993047831318215, 0.9444845720967164, 0.21649176515428956, 0.3150217379792308, 0.3258538901488414, 0.3335628092117841, 0.3067960413519684, 0.3069980104524718, 0.3026417420839559, 0.2969838507338394]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-5, -4, -5, -4, -5, -4, -3, -4]","[1, 0, 1, 2, 3, 4, 5, 4]","[-5, -6, -7, -8, -9, -10, -11, -12]","[1, 0, 1, 0, 1, 0, -1, 0]","[0.999402459165818, 0.9999662633790642, 0.9996489304051093, 0.9981255767955988, 0.9981690666522334, 0.999949597511818, 0.9994679164378114, 0.9989971627596489, 0.9989837944320829, 0.9993145103107699, 0.9993047831318215, 0.9444845720967164, 0.21649176515428956, 0.3150217379792308]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-4, -5, -4, -5, -4, -3, -2, -1, 0, 1]","[2, 1, 2, 3, 2]","[-12, -13, -12, -13, -14, -13]","[-4, -5, -6, -7, -8, -9, -10]","[0.3150217379792308, 0.21649176515428956, -1, -1, -1, -1, 0.9444845720967164, 0.9993047831318215, 0.9993145103107699, 0.9989837944320829, 0.9989971627596489, 0.9994679164378114, 0.999949597511818, 0.9981690666522334]","[-1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]","[-3, -2, -1, 0, 1, 0, 1]","[2, 1, 2, 3, 2, 3, 2, 3, 2]","[-13, -12, -13, -14, -13, -14, -13, -14, -13]","[-6, -7, -8, -9, -10, -11, -12]","[0.9444845720967164, 0.9993047831318215, 0.9993145103107699, 0.9989837944320829, 0.9989971627596489, 0.9994679164378114, 0.999949597511818, 0.9981690666522334, 0.9981255767955988, 0.9996489304051093, 0.9999662633790642, 0.999402459165818, 0.9994878702710973, 0.9999435592703145]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[3, 2, 1, 0, -1, 0, -1]","[-2, -3, -4, -3, -4]","[-1, -2, -3, -4, -5, -6, -7, -8, -9]","[1, 2, 3, 2]","[0.9999802459906351, 0.997626130477453, 0.9852908064761726, 0.979113306331416, 0.9785617324475329, 0.9544108207069579, 0.499946095423332, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 3, 4, 3, 2, 1, 0, -1]","[-3, -2, -3, -4, -3, -4]","[1, 0, -1, -2, -3, -4, -5]","[2, 1, 0, 1, 2, 3, 2]","[0.9658824011195023, -1, -1, 0.9112238116740329, 0.9946009061845013, 0.9999587645027213, 0.9999802459906351, 0.997626130477453, 0.9852908064761726, 0.979113306331416, 0.9785617324475329, 0.9544108207069579, 0.499946095423332, -1]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 2, 3, 2, 1, 0, 1, 0, -1, 0]","[-4, -5, -6, -7, -8]","[-9, -10, -9, -8, -7]","[2, 1, 0, -1, -2, -3]","[-1, -1, -1, -1, -1, 0.499946095423332, 0.9544108207069579, 0.9785617324475329, 0.979113306331416, 0.9852908064761726, 0.997626130477453, 0.9999802459906351, 0.9999587645027213, 0.9946009061845013]","[0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 0, 1, 0, -1, 0, 1, 0]","[-5, -6, -7, -8, -7, -6, -5]","[-10, -9, -8, -7, -8, -9, -10, -11]","[2, 1, 0, -1, -2, -3, -2]","[0.9544108207069579, 0.9785617324475329, 0.979113306331416, 0.9852908064761726, 0.997626130477453, 0.9999802459906351, 0.9999587645027213, 0.9946009061845013, 0.9112238116740329, -1, -1, 0.9658824011195023, 0.9998281514923631, 0.9995726837035626]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1]"
