five_p_cleav_1,five_p_cleav_compl_1,five_p_cleav_prob,five_p_non_cleav_1,five_p_non_cleav_compl_1,five_p_non_cleav_prob,three_p_cleav_1,three_p_cleav_compl_1,three_p_cleav_prob,three_p_non_cleav_1,three_p_non_cleav_compl_1,three_p_non_cleav_prob
"[6, 4, 6, 4, 6, 7, 5, 3, 1, -1, 1, 2, 3, 4, 2]","[-13, -11.001064096452101, -12.999058644287018, -11.001117523734756, -12.999752811172211, -13.999495150537731, -12.036456018276086, -10.207637464495477, -10.207637464495477, -10.207637464495477, -10.207637464495477, -10.207637464495477, -10.207637464495477, -11.79402148170973, -10.179666281957667]","[0.9994679517739496, 0.9989972739174591, 0.9989705602761316, 0.9993176437187281, 0.9997423393655187, 0.981519566130822, 0.9144092768903046, -1, -1, -1, -1, -1, 0.7931920086071264, 0.8071775998760317]","[5, 7, 8, 9, 7, 5, 6, 4, 6, 4, 6, 7, 5, 3, 1]","[-11, -12.998798013073065, -13.998651629980529, -15.99578724273302, -13.998270702500843, -12.00050509845948, -13.000453713172714, -11.001517809624815, -12.999512357459734, -11.00157123690747, -13.000206524344927, -13.999948863710445, -12.036909731448802, -10.208091177668193, -10.208091177668193]","[0.9993990065365326, 0.9998536169074631, 0.9985678063762455, 0.9987582701160881, 0.998882802020682, 0.999948614713236, 0.9994679517739496, 0.9989972739174591, 0.9989705602761316, 0.9993176437187281, 0.9997423393655187, 0.981519566130822, 0.9144092768903046, -1]","[2, 3, 5, 6, 8, 6, 8, 10, 9, 7, 9, 7, 9, 8, 10]","[-8, -8.843340824452767, -8.843340824452767, -9.650231564094488, -11.264586763846552, -10.471394755239425, -12.300213309020034, -14.263252441281677, -13.26351010191616, -11.264874814478702, -13.262815935030966, -11.264821387196047, -13.263757290743946, -12.263808676030711, -14.261574280072075]","[0.8433408244527671, -1, 0.8068907396417209, 0.8071775998760317, 0.7931920086071264, 0.9144092768903046, 0.981519566130822, 0.9997423393655187, 0.9993176437187281, 0.9989705602761316, 0.9989972739174591, 0.9994679517739496, 0.999948614713236, 0.998882802020682]","[8, 10, 9, 7, 9, 7, 9, 8, 10, 12, 10, 9, 7, 9, 8]","[-13, -14.963039132261644, -13.963296792896125, -11.964661505458668, -13.962602626010932, -11.964608078176013, -13.963543981723914, -12.963595367010678, -14.961360971052041, -16.958877511284218, -15.960309704907973, -14.960456088000509, -12.961658074927444, -14.96063222497731, -13.960690316758294]","[0.981519566130822, 0.9997423393655187, 0.9993176437187281, 0.9989705602761316, 0.9989972739174591, 0.9994679517739496, 0.999948614713236, 0.998882802020682, 0.9987582701160881, 0.9985678063762455, 0.9998536169074631, 0.9993990065365326, 0.9994870750249327, 0.9999419082190152]"
"[5, 3, 5, 3, 5, 6, 4, 2, 0, 2, 3, 5, 7, 5, 3]","[-12, -10.000998899478754, -11.999776967200555, -11.000784112237302, -12.998759892404431, -13.998536154771584, -12.107640305380926, -10.424562446036074, -10.424562446036074, -10.424562446036074, -10.424562446036074, -10.424562446036074, -10.424562446036074, -10.424562446036074, -10.424562446036074]","[0.9995005502606233, 0.9993890338609012, 0.9989928549632543, 0.9989878900835651, 0.9997762623671526, 0.9454479246953289, 0.8415389296724259, -1, -1, -1, -1, -1, -1, -1]","[4, 6, 7, 8, 6, 4, 5, 3, 5, 3, 5, 6, 4, 2, 0]","[-10, -11.912615364761983, -12.9125503564021, -13.912535608624562, -12.913488985446556, -10.917104567165534, -11.917054265168241, -9.918053164646995, -11.916831232368796, -10.917838377405543, -12.915814157572672, -13.915590419939825, -12.024694570549167, -10.341616711204315, -10.341616711204315]","[0.9563076823809918, 0.9999349916401168, 0.9999852522224628, 0.9990466231780082, 0.9981922091405107, 0.9999496980027072, 0.9995005502606233, 0.9993890338609012, 0.9989928549632543, 0.9989878900835651, 0.9997762623671526, 0.9454479246953289, 0.8415389296724259, -1]","[9, 10, 12, 13, 15, 13, 15, 17, 16, 14, 15, 13, 15, 14, 16]","[-9, -9, -9, -9.252381985483275, -9.756259647287898, -9.271857430615407, -10.95493528996026, -12.845831139350917, -11.846054876983764, -9.848079096816635, -11.846064806743144, -9.84728673902134, -11.846287839542587, -10.846338141539881, -12.842722559820903]","[-1, -1, 0.2523819854832751, 0.25193883090231134, 0.24220110833624503, 0.8415389296724259, 0.9454479246953289, 0.9997762623671526, 0.9989878900835651, 0.9989928549632543, 0.9993890338609012, 0.9995005502606233, 0.9999496980027072, 0.9981922091405107]","[15, 17, 16, 14, 15, 13, 15, 14, 16, 17, 16, 15, 13, 12, 11]","[-12, -13.890895849390658, -12.891119587023505, -10.893143806856376, -12.891129516782883, -10.892351449061081, -12.891352549582328, -11.89140285157962, -13.887787269860642, -15.885880516216659, -14.885895263994195, -13.885960272354078, -11.973344907592095, -11.973344907592095, -10.981041379279368]","[0.9454479246953289, 0.9997762623671526, 0.9989878900835651, 0.9989928549632543, 0.9993890338609012, 0.9995005502606233, 0.9999496980027072, 0.9981922091405107, 0.9990466231780082, 0.9999852522224628, 0.9999349916401168, 0.9563076823809918, -1, 0.9923035283127263]"
"[6, 4, 6, 4, 6, 7, 5, 3, 1, 2, 3, 4, 5, 4, 2]","[-13, -11.00116731148097, -12.998700946258225, -11.001677298963836, -12.999135805637998, -13.998110540747462, -12.023891555187424, -10.21293762865188, -9.524334814624957, -11.371050616811527, -12.340116361553747, -13.309894888172634, -14.27972371764841, -13.323860191030178, -13.323860191030178]","[0.9994163442595149, 0.9987668173886278, 0.9985118236471949, 0.9987292533370807, 0.9989747351094631, 0.9871094927800187, 0.9054769632677717, 0.6886028140269224, 0.9233579010932847, 0.9690657447422202, 0.9697785266188862, 0.9698288294757772, 0.9558635266182334, -1]","[5, 7, 8, 9, 7, 5, 6, 4, 6, 4, 6, 7, 5, 3, 1]","[-11, -12.998799252785828, -13.998653311814516, -15.995787808755196, -13.9982730045521, -12.000510053388465, -13.000457051471768, -11.001624362952738, -12.999157997729993, -11.002134350435604, -12.999592857109764, -13.998567592219228, -12.02434860665919, -10.213394680123647, -9.524791866096725]","[0.9993996263929142, 0.9998540590286884, 0.9985672484703394, 0.9987574021015481, 0.9988814755818177, 0.9999469980833028, 0.9994163442595149, 0.9987668173886278, 0.9985118236471949, 0.9987292533370807, 0.9989747351094631, 0.9871094927800187, 0.9054769632677717, 0.6886028140269224]","[-7, -6, -5, -4, -2, -4, -2, 0, -1, -3, -1, -3, -1, -2, 0]","[-12, -12, -12, -12, -12, -12, -13.810953926535543, -15.78517291209558, -14.786198176986117, -12.788739670311957, -14.785763317606346, -12.78822968282909, -14.78706237134812, -13.787115373264818, -15.784878324428453]","[-1, -1, -1, -1, -1, 0.9054769632677717, 0.9871094927800187, 0.9989747351094631, 0.9987292533370807, 0.9985118236471949, 0.9987668173886278, 0.9994163442595149, 0.9999469980833028, 0.9988814755818177]","[-2, 0, -1, -3, -1, -3, -1, -2, 0, 2, 0, -1, -3, -1, -2]","[-14, -15.974218985560038, -14.975244250450574, -12.977785743776412, -14.974809391070803, -12.977275756293547, -14.976108444812576, -13.976161446729273, -15.97392439789291, -17.971439202096008, -16.972871953625667, -15.973017894596978, -13.974218641811149, -15.973194695432278, -14.973250130764475]","[0.9871094927800187, 0.9989747351094631, 0.9987292533370807, 0.9985118236471949, 0.9987668173886278, 0.9994163442595149, 0.9999469980833028, 0.9988814755818177, 0.9987574021015481, 0.9985672484703394, 0.9998540590286884, 0.9993996263929142, 0.9994880268105646, 0.9999445646678046]"
"[6, 4, 5, 3, 4, 5, 3, 1, -1, -2, 0, 1, 2, 3, 2]","[-11, -9.001678674289602, -10.999590098772028, -9.001664723676068, -10.999380240001702, -11.99882994773868, -10.186929136773376, -9.565130909077059, -9.124121681644354, -8.674812330476788, -8.674812330476788, -9.388499655357583, -10.198222205737077, -11.099402282669427, -10.10690608198275]","[0.999160662855199, 0.9989557122412128, 0.9989626875479792, 0.9988577581628171, 0.9994497077369764, 0.9059504054826517, 0.3108991138481588, 0.4410092274327056, 0.4493093511675642, -1, 0.7136873248807942, 0.8097225503794934, 0.901180076932351, 0.9924962006866783]","[5, 7, 8, 9, 7, 5, 6, 4, 5, 3, 4, 5, 3, 1, -1]","[-10, -11.99880755369726, -12.99878415839148, -13.998763021933447, -12.000671776914993, -10.002919402120835, -11.002867146319906, -9.004545820609508, -11.002457245091932, -9.004531869995974, -11.002247386321608, -12.001697094058585, -10.189796283093282, -9.567998055396965, -9.126988827964258]","[0.9994037768486299, 0.9999766046942191, 0.9999788635419685, 0.9990456225092273, 0.9988761873970792, 0.9999477441990704, 0.999160662855199, 0.9989557122412128, 0.9989626875479792, 0.9988577581628171, 0.9994497077369764, 0.9059504054826517, 0.3108991138481588, 0.4410092274327056]","[-3, -1, 1, 2, 4, 2, 4, 6, 5, 3, 5, 3, 5, 4, 6]","[-10, -10.621798227696317, -10.621798227696317, -10.621798227696317, -10.621798227696317, -10.621798227696317, -10.621798227696317, -12.433699038661622, -11.434249330924645, -10.435391572761828, -12.433316947857787, -11.434361235616574, -13.432682561326972, -12.432734817127901, -14.43048719192206]","[0.3108991138481588, -1, -1, -1, -1, -1, 0.9059504054826517, 0.9994497077369764, 0.9988577581628171, 0.9989626875479792, 0.9989557122412128, 0.999160662855199, 0.9999477441990704, 0.9988761873970792]","[4, 6, 5, 3, 5, 3, 5, 4, 6, 8, 7, 6, 4, 6, 5]","[-12, -13.811900810965303, -12.812451103228327, -11.81359334506551, -13.811518720161468, -12.812563007920255, -14.810884333630653, -13.810936589431583, -15.808688964225741, -17.806780209244195, -16.806801345702226, -15.806824741008008, -13.80801718731075, -15.806994669203386, -14.80704241299483]","[0.9059504054826517, 0.9994497077369764, 0.9988577581628171, 0.9989626875479792, 0.9989557122412128, 0.999160662855199, 0.9999477441990704, 0.9988761873970792, 0.9990456225092273, 0.9999788635419685, 0.9999766046942191, 0.9994037768486299, 0.9994887409463186, 0.9999522562085547]"
"[2, 0, 2, 0, 1, 2, 0, -2, -4, -2, -1, 1, 2, 0, -2]","[-8, -6.001104658059185, -7.999198317043014, -7.007530279160288, -8.986494448934021, -9.983659146047827, -8.06588090870041, -6.551440665008494, -6.551440665008494, -6.551440665008494, -7.725333331434046, -9.05309839450933, -9.05309839450933, -7.639334697115739, -7.639334697115739]","[0.9994476709704075, 0.9990468294919146, 0.9916680378827262, 0.9894820848868664, 0.9971646971138058, 0.9588891186737082, 0.7572201218459581, -1, -1, 0.5869463332127762, 0.6638825315376422, -1, 0.7068818486967956, -1]","[1, 3, 4, 5, 3, 1, 2, 0, 2, 0, 1, 2, 0, -2, -4]","[-7, -8.750419520678014, -9.750263369545413, -10.750222845892676, -8.752132762002606, -6.754380521860547, -7.75432879726565, -5.755433455324835, -7.753527114308664, -6.761859076425938, -8.740823246199671, -9.737987943313478, -7.82020970596606, -6.305769462274144, -6.305769462274144]","[0.8752097603390069, 0.9998438488673995, 0.9999594763472633, 0.9990450419450349, 0.9988761200710301, 0.999948275405103, 0.9994476709704075, 0.9990468294919146, 0.9916680378827262, 0.9894820848868664, 0.9971646971138058, 0.9588891186737082, 0.7572201218459581, -1]","[-2, -1, 1, 2, 0, -2, 0, 2, 1, -1, 0, -2, 0, -1, 1]","[-8, -8, -9.413763697393591, -9.413763697393591, -8.085998634318306, -7.499052301105531, -9.013492544797447, -10.931270782144864, -9.934106085031058, -8.944624000144191, -10.927960075909644, -8.929866416925814, -10.928761758866628, -9.928813483461525, -11.926565723603586]","[-1, 0.7068818486967956, -1, 0.6638825315376422, 0.5869463332127762, 0.7572201218459581, 0.9588891186737082, 0.9971646971138058, 0.9894820848868664, 0.9916680378827262, 0.9990468294919146, 0.9994476709704075, 0.999948275405103, 0.9988761200710301]","[0, 2, 1, -1, 0, -2, 0, -1, 1, 3, 2, 1, -1, -3, -4]","[-9, -10.917778237347417, -9.92061354023361, -8.931131455346744, -10.914467531112196, -8.916373872128368, -10.915269214069182, -9.91532093866408, -11.91307317880614, -13.91116326269621, -12.911203786348945, -11.911359937481546, -10.160940416803532, -10.160940416803532, -9.172601161698385]","[0.9588891186737082, 0.9971646971138058, 0.9894820848868664, 0.9916680378827262, 0.9990468294919146, 0.9994476709704075, 0.999948275405103, 0.9988761200710301, 0.9990450419450349, 0.9999594763472633, 0.9998438488673995, 0.8752097603390069, -1, 0.9883392551051469]"
"[9, 8, 10, 8, 10, 11, 9, 7, 5, 3, 5, 6, 7, 8, 7]","[-12, -12, -13.835102516379422, -11.841392933376172, -13.838768972970735, -14.837884665853288, -12.917037220699326, -11.39385804646013, -11.39385804646013, -11.39385804646013, -11.39385804646013, -12.388152677385966, -13.386270794188327, -14.384574186143995, -13.386235013478615]","[-1, 0.9175512581897106, 0.9968547915016248, 0.9986880197972821, 0.9991156928825519, 0.9604237225769804, 0.7615895871195986, -1, -1, -1, 0.9942946309258355, 0.9981181168023615, 0.9983033919556683, 0.9983391726653794]","[8, 10, 11, 12, 10, 8, 9, 8, 10, 8, 10, 11, 9, 7, 5]","[-10, -11.998088683399459, -12.998064682247216, -13.99804437524169, -11.999131641470154, -11.001321977986787, -11.99343665157992, -11.99343665157992, -13.828539167959342, -11.834829584956092, -13.832205624550657, -14.831321317433208, -12.910473872279248, -11.38729469804005, -11.38729469804005]","[0.9990443416997298, 0.9999759988477567, 0.999979692994473, 0.9994563668857677, 0.9978096634833661, 0.9921146735931329, -1, 0.9175512581897106, 0.9968547915016248, 0.9986880197972821, 0.9991156928825519, 0.9604237225769804, 0.7615895871195986, -1]","[10, 11, 13, 14, 15, 13, 15, 17, 16, 14, 16, 14, 16, 15, 16]","[-12, -12, -12, -12, -12, -12, -13.523179174239196, -15.444026619393158, -14.444910926510605, -12.447534886916042, -14.441244469919292, -12.60614195353987, -12.60614195353987, -11.614027279946738, -13.60964660691347]","[-1, -1, -1, -1, -1, 0.7615895871195986, 0.9604237225769804, 0.9991156928825519, 0.9986880197972821, 0.9968547915016248, 0.9175512581897106, -1, 0.9921146735931329, 0.9978096634833661]","[15, 17, 16, 14, 16, 14, 16, 15, 16, 18, 17, 16, 14, 15, 14]","[-14, -15.92084744515396, -14.921731752271409, -12.924355712676846, -14.918065295680094, -13.082962779300674, -13.082962779300674, -12.09084810570754, -14.086467432674272, -16.08538016644581, -15.085400473451335, -14.085424474603577, -12.087335791204119, -14.086313615015877, -13.086342434466927]","[0.9604237225769804, 0.9991156928825519, 0.9986880197972821, 0.9968547915016248, 0.9175512581897106, -1, 0.9921146735931329, 0.9978096634833661, 0.9994563668857677, 0.999979692994473, 0.9999759988477567, 0.9990443416997298, 0.999488911905879, 0.9999711805489507]"
"[5, 3, 5, 3, 5, 6, 4, 2, 3, 5, 6, 7, 9, 10, 11]","[-11, -9.001070544260541, -10.999063463464955, -9.001095190946362, -10.999619295608188, -11.998595693724265, -10.896244189267259, -10.896244189267259, -11.732266142227166, -13.380780455649884, -13.713733246898176, -14.04652575609945, -14.04652575609945, -14.319328269420451, -14.319328269420451]","[0.9994647278697295, 0.9989964596022071, 0.9989841362592967, 0.9992620523309127, 0.9989763981160792, 0.5511757522285035, -1, 0.8360219529599061, 0.8242571567113587, 0.33295279124829436, 0.33279250920127307, -1, 0.2728025133210004, -1]","[4, 6, 7, 8, 6, 4, 5, 3, 5, 3, 5, 6, 4, 2, 3]","[-8, -9.999398192384021, -10.999375131340175, -11.99936203661379, -11.00052583494793, -10.00711085622616, -11.006951448043559, -9.008021992304101, -11.006014911508515, -9.00804663898992, -11.006570743651746, -12.005547141767826, -10.90319563731082, -10.90319563731082, -11.739217590270725]","[0.9996990961920104, 0.9999769389561537, 0.9999869052736162, 0.9988362016658614, 0.9934149787217695, 0.9998405918173997, 0.9994647278697295, 0.9989964596022071, 0.9989841362592967, 0.9992620523309127, 0.9989763981160792, 0.5511757522285035, -1, 0.8360219529599061]","[16, 17, 19, 20, 22, 20, 19, 21, 20, 18, 20, 18, 20, 19, 20]","[-13, -13, -13, -13, -13, -11.351485686577282, -10.515463733617377, -11.617815238074384, -10.618838839958304, -8.620314735296478, -10.618283007815073, -8.620290088610659, -10.619219544350118, -9.619378952532719, -11.606208909976257]","[-1, -1, -1, -1, 0.8242571567113587, 0.8360219529599061, 0.5511757522285035, 0.9989763981160792, 0.9992620523309127, 0.9989841362592967, 0.9989964596022071, 0.9994647278697295, 0.9998405918173997, 0.9934149787217695]","[19, 21, 20, 18, 20, 18, 20, 19, 20, 21, 20, 19, 17, 16, 15]","[-10, -11.102351504457006, -10.103375106340927, -8.104851001679101, -10.102819274197696, -8.104826354993282, -10.103755810732741, -9.103915218915342, -11.09074517635888, -13.088417579690603, -12.088430674416987, -11.088453735460833, -9.089055543076812, -8.08907025394558, -7.089094504233753]","[0.5511757522285035, 0.9989763981160792, 0.9992620523309127, 0.9989841362592967, 0.9989964596022071, 0.9994647278697295, 0.9998405918173997, 0.9934149787217695, 0.9988362016658614, 0.9999869052736162, 0.9999769389561537, 0.9996990961920104, 0.9999852891312313, 0.9999757497118278]"
"[7, 5, 7, 5, 7, 8, 6, 4, 5, 3, 4, 5, 6, 7, 5]","[-10, -8.001063822546104, -9.99906012998865, -8.001063935776719, -9.999824725355984, -10.999769913335706, -9.003018410480054, -7.016096716034995, -8.986459880961986, -7.173761670872649, -9.127800044045951, -10.12559415934271, -11.12415672080455, -12.122887066038142, -10.1271453190877]","[0.999468088726948, 0.9989981537212728, 0.9989980971059653, 0.9993803947896326, 0.9999451879797225, 0.998375751427826, 0.9934608472225297, 0.9851815824634953, 0.9063491050446681, 0.9770191865866512, 0.9977941152967573, 0.9985625614618405, 0.9987303452335923, 0.9978708734752203]","[5, 7, 8, 10, 8, 6, 7, 5, 7, 5, 7, 8, 6, 4, 5]","[-8, -9.998822460263382, -10.998787069823342, -12.9977066787076, -11.001458279859824, -9.003753222165301, -10.003701799314836, -8.00476562186094, -10.002761929303485, -8.004765735091556, -10.003526524670821, -11.003471712650544, -9.006720209794892, -7.019798515349832, -8.990161680276822]","[0.9994112301316905, 0.9999646095599608, 0.999459804442129, 0.9981241994238879, 0.9988525288472616, 0.9999485771495359, 0.999468088726948, 0.9989981537212728, 0.9989980971059653, 0.9993803947896326, 0.9999451879797225, 0.998375751427826, 0.9934608472225297, 0.9851815824634953]","[-3, -2, 0, 1, 3, 1, 3, 5, 4, 2, 4, 2, 4, 3, 5]","[-9, -9, -9, -9, -10.812698210089337, -9.82751662762584, -11.8144383220709, -13.811189824926553, -12.81124463694683, -10.812483847367565, -12.810480041579495, -10.81248373413695, -12.811419911590846, -11.811471334441311, -13.809176392135834]","[-1, -1, -1, 0.9063491050446681, 0.9851815824634953, 0.9934608472225297, 0.998375751427826, 0.9999451879797225, 0.9993803947896326, 0.9989980971059653, 0.9989981537212728, 0.999468088726948, 0.9999485771495359, 0.9988525288472616]","[3, 5, 4, 2, 4, 2, 4, 3, 5, 7, 5, 4, 2, 4, 2]","[-12, -13.996751502855652, -12.99680631487593, -10.998045525296664, -12.996041719508595, -10.99804541206605, -12.996981589519946, -11.997033012370409, -13.994738070064933, -15.990986468912709, -13.992066860028451, -12.99210225046849, -10.993279790205108, -12.991962164705622, -11.993948126621959]","[0.998375751427826, 0.9999451879797225, 0.9993803947896326, 0.9989980971059653, 0.9989981537212728, 0.999468088726948, 0.9999485771495359, 0.9988525288472616, 0.9981241994238879, 0.999459804442129, 0.9999646095599608, 0.9994112301316905, 0.9993411872502568, 0.9980140380836634]"
"[6, 4, 6, 4, 6, 7, 5, 3, 1, -1, 1, 2, 3, 4, 2]","[-14, -12.001064167124378, -13.999058492643675, -12.00109090377951, -13.999719924401049, -14.99902470753287, -13.110055563339438, -12.67707203303086, -12.36205029505163, -12.036196404902789, -12.703322023326356, -13.316914106030293, -13.623912116482764, -14.229195600650675, -13.635227899182997]","[0.9994679164378109, 0.9989971627596484, 0.9989837944320824, 0.9993145103107693, 0.9993047831318209, 0.9444845720967158, 0.21649176515428936, 0.3150217379792305, 0.32585389014884114, 0.33356280921178383, 0.3067960413519682, 0.3069980104524716, 0.30264174208395567, 0.29698385073383915]","[4, 6, 7, 9, 7, 5, 6, 4, 6, 4, 6, 7, 5, 3, 1]","[-11, -12.998804918331635, -13.998771181710698, -15.998069042520914, -14.999943465725316, -13.00360533242085, -14.003554929932669, -12.004619097057047, -14.002613422576344, -12.004645833712178, -14.003274854333718, -15.002579637465539, -13.113610493272107, -12.680626962963528, -12.365605224984298]","[0.9994024591658173, 0.9999662633790636, 0.9996489304051085, 0.9981255767955982, 0.9981690666522327, 0.9999495975118173, 0.9994679164378109, 0.9989971627596484, 0.9989837944320824, 0.9993145103107693, 0.9993047831318209, 0.9444845720967158, 0.21649176515428936, 0.3150217379792305]","[-5, -4, -2, -1, 1, -1, 1, 3, 2, 0, 2, 0, 2, 1, 3]","[-13, -13.63004347595846, -14.06302700626704, -14.06302700626704, -14.06302700626704, -14.06302700626704, -14.06302700626704, -15.95199615046047, -14.95269136732865, -12.954062346707111, -14.952029935571277, -12.95403561005198, -14.952971442927602, -13.953021845415783, -15.94935997872025]","[0.3150217379792305, 0.21649176515428936, -1, -1, -1, -1, 0.9444845720967158, 0.9993047831318209, 0.9993145103107693, 0.9989837944320824, 0.9989971627596484, 0.9994679164378109, 0.9999495975118173, 0.9981690666522327]","[1, 3, 2, 0, 2, 0, 2, 1, 3, 4, 2, 1, -1, 1, 0]","[-17, -18.88896914419343, -17.889664361061612, -15.891035340440071, -17.889002929304237, -15.89100860378494, -17.88994443666056, -16.889994839148745, -18.88633297245321, -20.882584126044407, -18.88328626523419, -17.883320001855125, -15.88451508352349, -17.883490824065685, -16.88354726479537]","[0.9444845720967158, 0.9993047831318209, 0.9993145103107693, 0.9989837944320824, 0.9989971627596484, 0.9994679164378109, 0.9999495975118173, 0.9981690666522327, 0.9981255767955982, 0.9996489304051085, 0.9999662633790636, 0.9994024591658173, 0.9994878702710966, 0.999943559270314]"
"[10, 11, 9, 7, 5, 6, 4, 5, 6, 8, 6, 4, 2, 0, 1]","[-2, -2.999980245990635, -2.002354115513182, -1.0170633090370096, 0.9411633036258227, -0.03739842882171018, 0.9170123918852475, -0.0828797989614165, -0.0828797989614165, -0.0828797989614165, -0.0828797989614165, -0.0828797989614165, -0.0828797989614165, -0.0828797989614165, -0.0828797989614165]","[0.9999802459906351, 0.997626130477453, 0.9852908064761726, 0.979113306331416, 0.9785617324475329, 0.9544108207069579, 0.499946095423332, -1, -1, -1, -1, -1, -1, -1]","[7, 9, 7, 9, 11, 9, 10, 11, 9, 7, 5, 6, 4, 5, 6]","[1, -0.9317648022390046, -0.9317648022390046, -0.9317648022390046, -2.7542124255870704, -0.7650106132180678, -1.764969377720789, -2.7649496237114244, -1.7673234932339712, -0.7820326867577987, 1.1761939259050334, 0.1976321934575005, 1.1520430141644584, 0.1521508233177944, 0.1521508233177944]","[0.9658824011195023, -1, -1, 0.9112238116740329, 0.9946009061845013, 0.9999587645027213, 0.9999802459906351, 0.997626130477453, 0.9852908064761726, 0.979113306331416, 0.9785617324475329, 0.9544108207069579, 0.499946095423332, -1]","[3, 5, 7, 9, 10, 11, 9, 10, 9, 11, 12, 13, 12, 11, 13]","[-1, -1, -1, -1, -1, -1, -0.500053904576668, -2.408875545990584, -1.430313813543051, -3.388540426205883, -5.359122039158228, -7.354374300113134, -6.3543940541224995, -5.354435289619778, -7.343637101988781]","[-1, -1, -1, -1, -1, 0.499946095423332, 0.9544108207069579, 0.9785617324475329, 0.979113306331416, 0.9852908064761726, 0.997626130477453, 0.9999802459906351, 0.9999587645027213, 0.9946009061845013]","[9, 10, 9, 11, 12, 13, 12, 11, 13, 11, 13, 11, 9, 10, 8]","[0, -1.9088216414139159, -0.930259908966383, -2.888486521629215, -4.85906813458156, -6.854320395536465, -5.8543401495458305, -4.8543813850431095, -6.843583197412112, -5.021135574064046, -5.021135574064046, -5.021135574064046, -3.089370771825042, -4.089198923317405, -2.09005355591028]","[0.9544108207069579, 0.9785617324475329, 0.979113306331416, 0.9852908064761726, 0.997626130477453, 0.9999802459906351, 0.9999587645027213, 0.9946009061845013, 0.9112238116740329, -1, -1, 0.9658824011195023, 0.9998281514923631, 0.9995726837035626]"
